Date       ,Time    ,League                ,Season  ,Match Day ,home_team                                   ,away_team ,goal_minute ,team_side ,player_name                 ,goal_type
21/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       12 ,Gaddafi FC Vs Onduparaka FC                 ,          ,23          ,home      ,Jamaldine Karenzi Bucochera ,Regular
21/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       12 ,Gaddafi FC Vs Onduparaka FC                 ,          ,32          ,home      ,Hassan Musana               ,Penalty
21/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       12 ,Gaddafi FC Vs Onduparaka FC                 ,          ,85          ,away      ,Nathan Oloro                ,Penalty
26/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        3 ,Tooro United FC Vs Gaddafi FC               ,          ,27          ,away      ,Joel Madondo                ,Penalty
26/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        3 ,Tooro United FC Vs Gaddafi FC               ,          ,73          ,home      ,Marvin Oshaba               ,Penalty
12/02/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       17 ,URA FC Vs Gaddafi FC                        ,          ,50          ,home      ,Ibrahim Dada                ,Regular
12/02/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       17 ,URA FC Vs Gaddafi FC                        ,          ,68          ,away      ,Sheif Batte                 ,Regular
12/02/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       17 ,URA FC Vs Gaddafi FC                        ,          ,90+3        ,home      ,Brian Nkuubi                ,Regular
15/04/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       25 ,Gaddafi FC Vs BUL FC                        ,          ,13          ,away      ,Hillary Onek                ,Regular
15/04/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       25 ,Gaddafi FC Vs BUL FC                        ,          ,79          ,away      ,Jeromy Kirya                ,Regular
19/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        6 ,Busoga United FC Vs Soltilo Bright Stars FC ,          ,            ,          ,                            ,
16/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       21 ,SC Villa Vs Gaddafi FC                      ,          ,66          ,home      ,Benson Muhindo              ,Regular
08/01/2022 ,3:00 pm ,Uganda Premier League ,2021/22 ,       15 ,URA FC Vs KCCA FC                           ,          ,37          ,home      ,Steven Dese Mukwala         ,Regular
11/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Mbarara City FC Vs Onduparaka FC            ,          ,29          ,away      ,Ahmed Amayo                 ,Regular
11/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Mbarara City FC Vs Onduparaka FC            ,          ,42          ,away      ,Shaban Mohammad Jagason     ,Regular
11/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Mbarara City FC Vs Onduparaka FC            ,          ,59          ,home      ,Solomon Ali Okwalinga       ,Penalty
11/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Mbarara City FC Vs Onduparaka FC            ,          ,76          ,home      ,Seiri Arigumaho             ,Regular
11/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Mbarara City FC Vs Onduparaka FC            ,          ,84          ,home      ,Hilary Panuel Mukundane     ,Regular
02/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Arua Hill SC Vs Wakiso Giants FC            ,          ,4           ,home      ,Abdulahi Rashid Kawawa      ,Regular
02/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Arua Hill SC Vs Wakiso Giants FC            ,          ,8           ,home      ,Alfred Leku                 ,Regular
02/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Arua Hill SC Vs Wakiso Giants FC            ,          ,14          ,home      ,Abdulahi Rashid Kawawa      ,Regular
02/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Arua Hill SC Vs Wakiso Giants FC            ,          ,38          ,home      ,Abdulahi Rashid Kawawa      ,Regular
02/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Arua Hill SC Vs Wakiso Giants FC            ,          ,64          ,away      ,Titus Ssematimba            ,Regular
