Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
08/04/2023,7:00 pm,Uganda Premier League,2022/23,22,Vipers SC,Blacks Power FC,44,home,Martin Kizza,Regular
11/02/2023,2:00 pm,Uganda Premier League,2022/23,16,Express FC,UPDF FC,73,home,Allan Thierry Kayiwa,Regular
11/02/2023,2:00 pm,Uganda Premier League,2022/23,16,Express FC,UPDF FC,87,away,Oscar Musa Aluma,Regular
09/12/2022,4:00 pm,Uganda Premier League,2022/23,12,KCCA FC,Express FC,3,home,Moses Waiswa Ndhondhi,Penalty
09/12/2022,4:00 pm,Uganda Premier League,2022/23,12,KCCA FC,Express FC,73,home,Tshisungu Kankonde,Regular
09/12/2022,4:00 pm,Uganda Premier League,2022/23,12,KCCA FC,Express FC,84,home,Charles Lwanga,Regular
03/03/2023,4:00 pm,Uganda Premier League,2022/23,18,Wakiso Giants FC,Maroons FC,49,home,Ambrose Alinda,Own Goal
03/03/2023,4:00 pm,Uganda Premier League,2022/23,18,Wakiso Giants FC,Maroons FC,69,away,Player,Regular
03/03/2023,4:00 pm,Uganda Premier League,2022/23,18,Wakiso Giants FC,Maroons FC,73,home,Ambrose Alinda,Regular
16/11/2022,4:00 pm,Uganda Premier League,2022/23,8,Busoga United FC,Express FC,86,away,Allan Thierry Kayiwa,Regular
28/04/2023,2:15 pm,Uganda Premier League,2022/23,25,UPDF FC,Blacks Power FC,2,home,Ivan Ahimbisibwe,Regular
28/04/2023,2:15 pm,Uganda Premier League,2022/23,25,UPDF FC,Blacks Power FC,35,home,Christopher Kamagu,Regular
28/04/2023,2:15 pm,Uganda Premier League,2022/23,25,UPDF FC,Blacks Power FC,50,home,Ivan Ahimbisibwe,Regular
28/10/2022,4:00 pm,Uganda Premier League,2022/23,5,Maroons FC,KCCA FC,64,home,Fred Amaku,Regular
05/04/2023,4:00 pm,Uganda Premier League,2022/23,21,Maroons FC,Vipers SC,10,away,Milton Karisa,Regular
05/04/2023,4:00 pm,Uganda Premier League,2022/23,21,Maroons FC,Vipers SC,19,home,Fred Amaku,Regular
05/04/2023,4:00 pm,Uganda Premier League,2022/23,21,Maroons FC,Vipers SC,70,away,Milton Karisa,Regular
05/04/2023,4:00 pm,Uganda Premier League,2022/23,21,Maroons FC,Vipers SC,90+3,home,Player,Regular
05/04/2023,2:00 pm,Uganda Premier League,2022/23,21,Blacks Power FC,KCCA FC,7,home,Robert Eseru,Regular
05/04/2023,2:00 pm,Uganda Premier League,2022/23,21,Blacks Power FC,KCCA FC,36,away,Denis Iguma,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Onduparaka FC,UPDF FC,8,away,Ezekiel Katende,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Onduparaka FC,UPDF FC,15,home,Dominic Abonga,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Onduparaka FC,UPDF FC,45,home,Emmanuel Janan Okech,Penalty
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Onduparaka FC,UPDF FC,55,home,Denis Glosh Ojara,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Onduparaka FC,UPDF FC,60,home,Denis Glosh Ojara,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Onduparaka FC,UPDF FC,74,home,Denis Glosh Ojara,Regular
01/10/2022,4:00 pm,Uganda Premier League,2022/23,1,UPDF FC,Express FC,51,away,Allan Thierry Kayiwa,Regular
01/10/2022,4:00 pm,Uganda Premier League,2022/23,1,UPDF FC,Express FC,63,home,Rashid Faridi,Regular
20/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Busoga United FC,Vipers SC,90+1,home,Ibrahim Kayiwa,Regular
20/03/2023,4:00 pm,Uganda Premier League,2022/23,19,UPDF FC,Soltilo Bright Stars FC,38,home,Badru Jibril Nsimbe,Regular
12/05/2023,4:00 pm,Uganda Premier League,2022/23,27,Busoga United FC,Wakiso Giants FC,,,,
16/05/2023,4:00 pm,Uganda Premier League,2022/23,28,UPDF FC,SC Villa,49,away,Fred Gift,Regular
16/05/2023,4:00 pm,Uganda Premier League,2022/23,28,UPDF FC,SC Villa,79,away,Charles Bbaale,Regular
20/12/2022,2:00 pm,Uganda Premier League,2022/23,15,Gaddafi FC,URA FC,19,home,Andrew Waiswa,Penalty
20/12/2022,2:00 pm,Uganda Premier League,2022/23,15,Gaddafi FC,URA FC,31,home,Mahad Yaya Kakooza,Regular
20/12/2022,2:00 pm,Uganda Premier League,2022/23,15,Gaddafi FC,URA FC,86,away,George Senkaaba,Regular
29/04/2023,4:00 pm,Uganda Premier League,2022/23,25,SC Villa,Vipers SC,35,home,Charles Bbaale,Regular
16/05/2023,4:00 pm,Uganda Premier League,2022/23,28,Maroons FC,Onduparaka FC,19,home,Darius Ojok,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Blacks Power FC,UPDF FC,77,home,Ivan Okello,Regular
28/10/2022,4:00 pm,Uganda Premier League,2022/23,5,Blacks Power FC,Arua Hill SC,,,,
11/12/2022,4:00 pm,Uganda Premier League,2022/23,13,SC Villa,UPDF FC,28,home,Charles Bbaale,Regular
11/12/2022,4:00 pm,Uganda Premier League,2022/23,13,SC Villa,UPDF FC,70,home,Ivan Bogere,Regular
28/04/2023,4:00 pm,Uganda Premier League,2022/23,25,Onduparaka FC,Arua Hill SC,18,away,Rashid Toha,Regular
28/04/2023,4:00 pm,Uganda Premier League,2022/23,25,Onduparaka FC,Arua Hill SC,23,home,Yakin Rashid,Regular
28/04/2023,4:00 pm,Uganda Premier League,2022/23,25,Onduparaka FC,Arua Hill SC,70,away,Isaac Ogwang,Regular
28/04/2023,4:00 pm,Uganda Premier League,2022/23,25,Onduparaka FC,Arua Hill SC,90+3,home,Emmanuel Janan Okech,Regular
12/10/2022,4:00 pm,Uganda Premier League,2022/23,3,UPDF FC,Busoga United FC,6,away,Hassan Kintu,Regular
